song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,year
En Iniya Pon Nilave,K J Yesudas,/artist/k-j-yesudas,04:18,Tamil,04-04-2002,0.8,0.849,0.467,0.17,-3.264,0.02,162.04,1,0,0.06,4,46,7160839,2002
Andhi Mazhai Pozhigirathu,S. Janaki|S. P. Balasubrahmanyam|T.V. Gopalakrishnan,/artist/s-janaki|/artist/s-p-balasubrahamanyam|/artist/tv-gopalakrishnan,04:36,Tamil,01-03-2023,0.1,0.36,0.039,0.18,-4.747,0.0677,151.99,1,5,0.0688,4,53,4329874,2023
Ilamai Ennum Poonkaatru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:08,Tamil,07-07-2002,0.02,0.2,0.378,0.67,-9.441,0.021,169.464,1,5,0.02,4,51,8531979,2002
Ithu Oru Ponmalai,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:20,Tamil,04-03-2020,0.29,0.663,0.014,0.765,-12.583,0.095,145.046,1,6,0.019,4,77,4102936,2020
Senorita,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:24,Tamil,01-06-2003,0.19,0.195,0.925,0.777,-8.851,0.014,162.149,1,1,0.056,4,71,2783036,2003
Senthazhampoovil,K J Yesudas,/artist/k-j-yesudas,04:35,Tamil,12-01-2008,0.68,0.45,0.924,0.19,-2.296,0.086,171.638,1,7,0.006,4,36,9516156,2008
Poongathave,Deepan Chakravarthy|Uma Ramanan,/artist/deepan-chakravarthy|/artist/uma-ramanan-1,04:22,Tamil,07-07-2008,0.84,0.86,0.888,0.68,-9.996,0.03,139.956,0,6,0.0181,4,27,3358489,2008
Sorgam Madhuvile,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:34,Tamil,10-09-2008,0.95,0.552,0.224,0.97,-10.388,0.0,139.973,1,1,0.067,4,89,4972246,2008
Machaanai Paatheengala,S. Janaki,/artist/s-janaki,04:36,Tamil,02-07-2023,0.69,0.79,0.983,0.12,-10.097,0.03,114.258,0,1,0.05,4,79,9308946,2023
Oru Thanga Radhathil,Malaysia Vasudevan,/artist/malaysia-vasudevan,04:26,Tamil,08-11-2022,0.69,0.635,0.365,0.46,-10.406,0.0788,130.036,1,11,0.0623,4,77,7737042,2022
Meenkodi Theril,K J Yesudas,/artist/k-j-yesudas,04:31,Tamil,08-01-2007,0.45,0.076,0.865,0.749,-3.951,0.0884,108.963,1,7,0.096,4,59,5922764,2007
Podhuvaga En Manasu,Malaysia Vasudevan,/artist/malaysia-vasudevan,05:06,Tamil,07-06-2007,0.1,0.4,0.631,0.59,-4.172,0.048,130.032,0,3,0.0744,4,61,8942899,2007
Vizhiyile Malarndhadhu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:22,Tamil,11-04-2005,0.33,0.13,0.753,0.81,-9.032,0.06,200.008,1,2,0.01,4,36,10279594,2005
Muthaitharu,T.M. Soundararajan,/artist/tm-soundararajan,03:16,Tamil,04-12-2022,0.45,0.68,0.359,0.98,-10.251,0.0215,162.127,1,9,0.0208,4,93,3502986,2022
Thaaliyae Thevaiyillai,Bhavatharini|Hariharan,/artist/bhavatharini|/artist/hariharan,04:47,Tamil,09-07-2005,0.62,0.36,0.722,0.83,-2.454,0.0,155.022,0,4,0.039,4,76,9726836,2005
Neengatha Ennam,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:07,Tamil,09-06-2020,0.98,0.331,0.015,0.283,-11.301,0.055,150.009,1,5,0.03,4,89,2882889,2020
Kanmaniyae Kadhal Enbathu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:25,Tamil,09-08-2023,0.82,0.3,0.129,0.36,-10.779,0.03,159.951,0,10,0.0077,4,38,743133,2023
Ithu Oru Ponmalai,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:18,Tamil,05-01-2004,0.68,0.676,0.604,0.456,-3.967,0.02,161.05,1,8,0.08,4,100,7761372,2004
En Vaanilay,Jency,/artist/jency,04:49,Tamil,06-08-2009,0.65,0.261,0.55,0.296,-13.797,0.001,160.032,1,0,0.04,4,84,3344544,2009
Uravugal Thodarkathai,K J Yesudas,/artist/k-j-yesudas,04:27,Tamil,10-10-2022,0.53,0.9,0.619,0.31,-8.906,0.01,199.986,1,11,0.0598,4,100,2116206,2022
Oru Iniya Manathu,Sujatha Mohan,/artist/sujatha,04:22,Tamil,09-08-2001,0.34,0.155,0.922,0.348,-10.902,0.088,189.922,0,10,0.1,4,61,248279,2001
Nilai Marum Ulagil,K J Yesudas,/artist/k-j-yesudas,04:51,Tamil,10-09-2001,0.05,0.88,0.397,0.04,-13.936,0.03,141.037,0,4,0.04,4,58,1298602,2001
Chippiyirukkuthu,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:52,Tamil,10-08-2006,0.12,0.03,0.248,0.025,-2.616,0.04,150.044,1,2,0.063,4,50,2062009,2006
Ragangal Padhnaaru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:06,Tamil,08-04-2021,0.93,0.72,0.069,0.87,-8.546,0.0271,129.999,0,4,0.018,4,76,2955920,2021
Deivam Thantha,K J Yesudas,/artist/k-j-yesudas,04:37,Tamil,03-05-2005,0.42,0.44,0.107,0.46,-3.888,0.011,112.01,1,1,0.08,4,44,4027487,2005
Chuzhi Pottu,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:19,Tamil,04-12-2007,0.03,0.9,0.434,0.63,-5.21,0.0638,180.026,1,1,0.093,4,97,5911260,2007
Illamai etho ehto,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:49,Tamil,02-10-2006,0.64,0.481,0.613,0.247,-9.784,0.0199,109.237,0,0,0.0998,4,43,7780048,2006
Unnakkenna Melae,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:43,Tamil,01-07-2007,0.66,0.91,0.972,0.394,-8.131,0.0242,167.892,0,0,0.0814,4,70,9118198,2007
Atho Andha Paravaipola,T.M. Soundararajan,/artist/tm-soundararajan,05:05,Tamil,10-12-2020,0.5,0.31,0.477,0.87,-10.401,0.0249,166.019,0,5,0.069,4,78,859327,2020
Kovil Mani Osai,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:43,Tamil,01-04-2004,0.79,0.63,0.753,0.343,-11.488,0.01,148.028,0,0,0.0201,4,34,7933699,2004
Raman Aandaalum,S. P. Balasubrahmanyam|L.R. Anjali,/artist/s-p-balasubrahamanyam|/artist/lr-anjali,05:49,Tamil,10-02-2005,0.35,0.45,0.429,0.98,-11.537,0.08,153.967,1,9,0.09,4,34,4818147,2005
Kaatru Vaanga,T.M. Soundararajan,/artist/tm-soundararajan,03:43,Tamil,08-10-2006,0.31,0.787,0.425,0.67,-12.023,0.0361,149.964,1,8,0.01,4,67,5947679,2006
Vethalaya Potendi,M. S. Viswanathan,/artist/m-s-viswanathan-2,04:48,Tamil,07-11-2003,0.04,0.02,0.58,0.29,-12.075,0.09,129.829,1,7,0.0943,4,38,3193372,2003
Kannan Oru,P. Susheela|K J Yesudas,/artist/p-suseela-2|/artist/k-j-yesudas,04:43,Tamil,07-02-2004,0.31,0.207,0.155,0.286,-6.187,0.041,163.962,1,3,0.05,4,50,2219941,2004
Eatho Ninaivukal,Leslie,/artist/leslie,04:43,Tamil,11-04-2007,0.74,0.77,0.914,0.89,-6.858,0.0491,154.964,1,2,0.0127,4,76,10670484,2007
Avalukkenna,L.R. Eswari|T.M. Soundararajan,/artist/lr-eswari-2|/artist/tm-soundararajan,05:17,Tamil,04-04-2007,0.61,0.094,0.27,0.599,-4.094,0.0756,124.057,0,6,0.0844,4,26,602704,2007
Senthoora Poove,Leslie,/artist/leslie,04:38,Tamil,02-08-2007,0.54,0.72,0.455,0.3,-4.257,0.0566,139.059,0,11,0.003,4,25,9789667,2007
Medhuva Medhuva,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:20,Tamil,08-08-2004,0.67,0.349,0.375,0.542,-5.486,0.01,164.064,1,2,0.0086,4,84,9672244,2004
Appane Pillaiyarappane,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:38,Tamil,12-04-2005,0.4,0.34,0.307,0.47,-5.367,0.088,180.051,1,1,0.0867,4,83,8514784,2005
Malarndhum Malaradha,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,05:32,Tamil,09-10-2009,0.22,0.49,0.421,0.15,-7.138,0.02,195.908,0,1,0.085,4,72,630048,2009
Selai Kattum,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:50,Tamil,02-04-2006,0.82,0.24,0.404,0.41,-5.341,0.03,169.94,1,2,0.09,4,77,7706754,2006
Aattukkutti Muttai,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:02,Tamil,09-04-2009,0.64,0.65,0.613,0.26,-7.878,0.05,169.036,0,9,0.06,4,56,1546184,2009
Oru Sandhana Kaattukkulle,S. Janaki|Ilaiyaraaja,/artist/s-janaki|/artist/iiaiyaraaja,05:26,Tamil,08-06-2022,0.53,0.672,0.653,0.964,-11.532,0.0382,120.098,0,1,0.0864,4,39,4934377,2022
Chinna Kannan,S. Janaki,/artist/s-janaki,04:34,Tamil,02-05-2001,0.19,0.091,0.252,0.608,-5.453,0.033,174.04,1,8,0.047,4,93,7689812,2001
Bharathi Kannamma,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,05:47,Tamil,04-02-2001,0.45,0.82,0.575,0.55,-8.061,0.0477,120.055,1,11,0.092,4,37,9385198,2001
Thamthananam,Jency|B.Vasantha,/artist/jency|/artist/bvasantha,04:32,Tamil,01-09-2005,0.21,0.48,0.014,0.58,-7.436,0.0199,107.674,1,11,0.061,4,63,2889592,2005
My Name Is Billa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:26,Tamil,05-10-2022,0.37,0.77,0.543,0.46,-10.289,0.034,179.954,0,10,0.09,4,50,5079953,2022
Kumari Pennin Ullatthile,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,05:48,Tamil,04-02-2021,0.54,0.841,0.031,0.929,-11.161,0.055,199.932,1,1,0.05,4,65,9395977,2021
Vinayagane Vinai Theerpavane,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:02,Tamil,06-05-2003,0.29,0.91,0.607,0.8,-3.147,0.0046,177.786,1,7,0.053,4,31,4065034,2003
Ullathil Nalla Ullam,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:54,Tamil,12-04-2006,0.45,0.243,0.13,0.737,-5.167,0.09,140.083,1,8,0.03,4,38,9113294,2006
Aagayam Thaane,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:48,Tamil,01-02-2008,0.54,0.51,0.878,0.35,-5.176,0.0671,179.965,0,0,0.0221,4,85,1134024,2008
Naane Naana.,Vani Jairam,/artist/vani-jayaram,04:30,Tamil,05-05-2020,0.04,0.49,0.255,0.3,-7.829,0.0277,164.02,0,6,0.047,4,31,1143200,2020
Mazhai Varuvathu,S. Janaki,/artist/s-janaki,04:43,Tamil,11-11-2003,0.45,0.983,0.778,0.07,-12.897,0.0396,204.058,1,9,0.01,4,57,2614709,2003
Vetri Vetri,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,05:03,Tamil,12-07-2022,0.97,0.234,0.731,0.281,-9.296,0.09,119.919,1,8,0.056,4,57,9661977,2022
Ucchi Vagundhedutthu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:51,Tamil,05-03-2021,0.68,0.572,0.965,0.388,-11.187,0.07,132.082,0,6,0.071,4,51,8642496,2021
Maamen Orunaal,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,04:43,Tamil,01-03-2021,0.95,0.522,0.203,0.115,-7.764,0.02,131.965,0,9,0.02,4,83,8276472,2021
Aagayam Thaane,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:48,Tamil,02-03-2008,0.07,0.35,0.847,0.07,-5.867,0.099,139.054,0,7,0.02,4,34,11353306,2008
Naan Paartthathille,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:04,Tamil,09-09-2022,0.2,0.253,0.846,0.361,-4.345,0.029,149.95,1,7,0.0051,4,48,7770413,2022
Roja Malarae Rajakumari,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,03:29,Tamil,04-10-2009,0.75,0.596,0.949,0.306,-11.304,0.0084,175.023,1,8,0.04,4,95,10743711,2009
Thenpandi Cheemayile,Ilaiyaraaja|Kamal Haasan,/artist/iiaiyaraaja|/artist/kamal-haasan,04:32,Tamil,07-10-2022,0.81,0.82,0.525,0.34,-13.212,0.088,180.036,1,4,0.06,4,42,4098734,2022
Samayal Paadame,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,05:50,Tamil,07-02-2009,0.32,0.426,0.274,0.177,-3.442,0.037,141.991,1,0,0.068,4,29,8884916,2009
Inbamae Undhanper,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,05:01,Tamil,12-04-2007,0.68,0.33,0.118,0.33,-9.141,0.0048,181.13,1,11,0.061,4,34,315338,2007
Ooru Sanam Thoongidichu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:38,Tamil,03-08-2005,0.31,0.12,0.841,0.567,-13.89,0.0982,131.982,1,8,0.078,4,50,6111760,2005
Naan Pesa Ninaippathellaam,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:12,Tamil,07-06-2008,0.59,0.33,0.582,0.93,-13.117,0.056,120.041,1,9,0.0512,4,84,716555,2008
Ponmaalai Pozhuthu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:24,Tamil,09-08-2008,0.21,0.307,0.845,0.777,-2.64,0.083,149.982,0,5,0.046,4,72,10157642,2008
Kashmir Beautiful,T.M. Soundararajan,/artist/tm-soundararajan,07:27,Tamil,08-12-2006,0.94,0.32,0.28,0.47,-2.087,0.032,121.793,1,4,0.0702,4,89,8818916,2006
Mookuthi Poomele (Happy),S. Janaki|K J Yesudas,/artist/s-janaki|/artist/k-j-yesudas,04:52,Tamil,03-03-2002,0.1,0.47,0.765,0.8,-7.028,0.01,130.071,1,0,0.048,4,51,1832119,2002
